L_GJ	Lbol	tbol	t
3.221068791	0.084139514	5.13E+05	4.93E+05
3.184197522	0.083945999	5.48E+05	5.01E+05
3.111716337	0.083560302	5.83E+05	5.17E+05
3.076096815	0.083368118	6.17E+05	5.25E+05
3.013006024	0.082985077	6.51E+05	5.41E+05
2.978516429	0.082794216	6.83E+05	5.49E+05
2.910717118	0.082603795	7.14E+05	5.67E+05
2.877398415	0.082224265	7.45E+05	5.76E+05
2.81190083	0.082035154	7.75E+05	5.94E+05
2.779713268	0.081658237	8.04E+05	6.03E+05
2.716439269	0.081470428	8.32E+05	6.22E+05
2.685344446	0.081283052	8.60E+05	6.32E+05
2.624218543	0.08090959	8.87E+05	6.53E+05
2.600159563	0.080723503	9.13E+05	6.63E+05
2.540972706	0.080537844	9.39E+05	6.84E+05
2.511886432	0.080167806	9.64E+05	6.95E+05
2.454708916	0.079983426	9.88E+05	7.17E+05
2.426610095	0.079799469	1.01E+06	7.29E+05
2.398832919	0.079432823	1.03E+06	7.41E+05
2.344228815	0.079250133	1.06E+06	7.64E+05
2.31739465	0.079067863	1.08E+06	7.77E+05
2.264644308	0.078704579	1.10E+06	8.02E+05
2.238721139	0.078523563	1.12E+06	8.15E+05
2.187761624	0.078342964	1.14E+06	8.41E+05
2.162718524	0.07816278	1.16E+06	8.55E+05
2.11348904	0.077803655	1.18E+06	8.83E+05
2.089296131	0.077624712	1.20E+06	8.97E+05
2.065380156	0.07744618	1.22E+06	9.12E+05
2.018366364	0.077268059	1.24E+06	9.41E+05
1.995262315	0.076913044	1.25E+06	9.57E+05
1.9498446	0.076736149	1.27E+06	9.88E+05
1.927524913	0.076559661	1.29E+06	1.00E+06
1.883649089	0.076383578	1.30E+06	1.04E+06
1.862087137	0.076032628	1.32E+06	1.05E+06
1.840772001	0.075857758	1.34E+06	1.07E+06
1.798870915	0.07568329	1.35E+06	1.11E+06
1.77827941	0.075509223	1.37E+06	1.12E+06
1.737800829	0.075335556	1.38E+06	1.16E+06
1.717908387	0.075162289	1.39E+06	1.18E+06
