Lbol	tbol
6.324119E-01	4.898284E+05
6.251727E-01	5.010742E+05
6.165950E-01	5.140602E+05
6.109420E-01	5.236776E+05
6.025596E-01	5.369638E+05
5.929253E-01	5.490425E+05
5.847901E-01	5.618185E+05
5.741165E-01	5.749314E+05
5.636377E-01	5.880943E+05
5.533501E-01	6.023016E+05
5.420009E-01	6.158940E+05
5.308844E-01	6.297642E+05
5.188000E-01	6.443725E+05
5.069907E-01	6.591815E+05
4.943107E-01	6.750283E+05
4.808393E-01	6.918246E+05
4.688134E-01	7.091074E+05
4.549881E-01	7.297515E+05
4.446313E-01	7.460020E+05
4.345102E-01	7.627777E+05
4.246196E-01	7.800923E+05
4.149540E-01	7.979745E+05
4.055085E-01	8.164376E+05
3.962780E-01	8.355145E+05
3.872576E-01	8.552223E+05
3.775722E-01	8.755844E+05
3.689776E-01	8.966274E+05
3.605786E-01	9.183812E+05
3.523709E-01	9.408730E+05
3.443499E-01	9.641242E+05
3.396253E-01	9.760476E+05
3.318945E-01	1.000509E+06
3.243396E-01	1.025810E+06
3.176874E-01	1.051991E+06
3.111716E-01	1.078999E+06
3.047895E-01	1.106861E+06
3.019952E-01	1.121109E+06
2.958012E-01	1.150321E+06
2.897344E-01	1.180451E+06
2.837919E-01	1.211571E+06
2.805434E-01	1.227501E+06
2.747894E-01	1.260161E+06
2.691535E-01	1.293889E+06
2.636331E-01	1.328731E+06
2.606154E-01	1.346580E+06
2.552701E-01	1.383171E+06
2.500345E-01	1.420980E+06
2.449063E-01	1.460061E+06
2.421029E-01	1.480079E+06
2.371374E-01	1.521118E+06
2.317395E-01	1.563529E+06
2.296149E-01	1.585269E+06
2.243882E-01	1.629821E+06
2.197860E-01	1.675849E+06
2.172701E-01	1.699429E+06
2.128139E-01	1.747769E+06
2.079697E-01	1.797699E+06
2.055891E-01	1.823278E+06
2.009093E-01	1.875698E+06
1.990673E-01	1.902550E+06
1.945360E-01	1.957569E+06
1.901078E-01	2.014392E+06
1.879317E-01	2.043492E+06
1.836538E-01	2.103110E+06
1.815516E-01	2.133649E+06
1.774189E-01	2.196221E+06
1.733804E-01	2.260841E+06
1.713957E-01	2.293940E+06
1.674943E-01	2.361772E+06
1.655770E-01	2.396520E+06
1.618080E-01	2.467749E+06
1.581248E-01	2.541347E+06
1.563148E-01	2.579069E+06
1.527566E-01	2.656397E+06
1.510080E-01	2.696038E+06
1.475707E-01	2.777340E+06
1.458814E-01	2.819019E+06
1.422329E-01	2.904538E+06
1.406048E-01	2.948418E+06
1.374042E-01	3.038449E+06
1.358313E-01	3.084651E+06
1.327394E-01	3.179501E+06
1.294196E-01	3.277729E+06
1.279381E-01	3.328158E+06
1.250259E-01	3.431698E+06
1.235947E-01	3.484849E+06
1.207814E-01	3.593991E+06
1.193988E-01	3.650018E+06
1.180321E-01	3.706739E+06
1.153453E-01	3.823834E+06
1.140250E-01	3.883926E+06
1.114295E-01	4.007338E+06
1.101539E-01	4.070690E+06
1.076465E-01	4.200761E+06
1.064143E-01	4.267514E+06
1.039920E-01	4.404555E+06
1.028016E-01	4.474866E+06
1.004616E-01	4.619202E+06
9.931160E-02	4.693243E+06
9.705100E-02	4.845203E+06
9.594006E-02	4.923138E+06
9.484185E-02	5.002453E+06
9.268298E-02	5.165175E+06
9.162205E-02	5.248655E+06
8.953648E-02	5.419909E+06
8.851156E-02	5.507747E+06
8.649679E-02	5.687966E+06
8.550667E-02	5.780375E+06
8.356030E-02	5.969940E+06
8.260379E-02	6.067154E+06
8.165824E-02	6.166035E+06
7.979947E-02	6.368806E+06
7.888601E-02	6.472767E+06
7.709035E-02	6.685994E+06
7.620790E-02	6.795306E+06
7.533556E-02	6.906468E+06
7.362071E-02	7.134442E+06
7.294575E-02	7.251352E+06
7.128530E-02	7.491107E+06
7.046931E-02	7.614037E+06
6.886523E-02	7.866164E+06
6.807694E-02	7.995452E+06
6.745280E-02	8.126939E+06
6.591739E-02	8.396591E+06
6.516284E-02	8.534852E+06
6.382635E-02	8.818424E+06
6.309573E-02	8.963817E+06
6.237348E-02	9.111649E+06
6.109420E-02	9.414798E+06
6.039486E-02	9.570156E+06
5.902011E-02	9.888399E+06
5.847901E-02	1.005141E+07
5.780960E-02	1.021699E+07
5.662393E-02	1.053921E+07
5.571857E-02	1.080560E+07
5.495409E-02	1.103169E+07
5.432503E-02	1.122889E+07
5.357967E-02	1.148529E+07
5.272299E-02	1.177449E+07
5.199960E-02	1.202120E+07
5.128614E-02	1.228689E+07
5.058247E-02	1.256070E+07
4.977371E-02	1.287129E+07
4.909079E-02	1.316831E+07
4.841724E-02	1.347799E+07
4.775293E-02	1.379031E+07
4.709773E-02	1.409909E+07
4.634469E-02	1.443371E+07
4.570882E-02	1.476451E+07
4.508167E-02	1.511158E+07
4.446313E-02	1.545269E+07
4.385307E-02	1.581980E+07
4.315191E-02	1.618181E+07
4.255984E-02	1.656029E+07
4.197590E-02	1.694291E+07
4.139997E-02	1.734040E+07
4.083194E-02	1.774071E+07
4.027170E-02	1.815662E+07
3.971915E-02	1.857822E+07
3.917419E-02	1.901161E+07
3.863670E-02	1.945360E+07
3.810658E-02	1.990660E+07
3.758374E-02	2.037000E+07
3.706807E-02	2.084428E+07
3.655948E-02	2.132912E+07
3.605786E-02	2.183569E+07
3.548134E-02	2.242048E+07
3.483373E-02	2.306051E+07
3.427678E-02	2.372898E+07
3.396253E-02	2.410177E+07
3.326596E-02	2.486389E+07
3.296097E-02	2.525341E+07
3.265878E-02	2.564862E+07
3.206269E-02	2.645648E+07
3.176874E-02	2.686940E+07
3.104560E-02	2.771399E+07
3.076097E-02	2.814667E+07
3.006076E-02	2.903321E+07
2.971666E-02	2.948750E+07
2.910717E-02	3.041872E+07
2.877398E-02	3.089577E+07
2.818383E-02	3.187388E+07
2.786121E-02	3.237531E+07
2.722701E-02	3.340312E+07
2.697739E-02	3.393001E+07
2.636331E-02	3.501039E+07
2.606154E-02	3.556420E+07
2.552701E-02	3.669940E+07
2.523481E-02	3.728164E+07
2.466039E-02	3.847556E+07
2.443431E-02	3.908769E+07
2.387811E-02	4.034289E+07
2.360478E-02	4.098642E+07
2.338837E-02	4.164070E+07
2.285599E-02	4.298263E+07
2.259436E-02	4.367058E+07
2.213095E-02	4.507108E+07
2.187762E-02	4.579436E+07
2.142891E-02	4.727875E+07
2.118361E-02	4.803989E+07
2.074914E-02	4.960186E+07
2.051162E-02	5.040354E+07
2.027683E-02	5.121899E+07
1.986095E-02	5.289334E+07
1.963360E-02	5.375279E+07
1.923092E-02	5.551866E+07
1.901078E-02	5.642545E+07
1.862087E-02	5.828972E+07
1.840772E-02	5.924804E+07
1.819701E-02	6.022447E+07
1.782379E-02	6.223375E+07
1.761976E-02	6.326784E+07
1.725838E-02	6.539853E+07
1.710015E-02	6.649623E+07
1.690441E-02	6.761702E+07
1.655770E-02	6.992927E+07
1.636817E-02	7.112283E+07
1.621810E-02	7.234275E+07
1.588547E-02	7.486468E+07
1.570363E-02	7.616913E+07
1.555966E-02	7.750434E+07
1.524053E-02	8.027106E+07
1.506607E-02	8.170488E+07
1.489361E-02	8.317484E+07
1.462177E-02	8.622972E+07
1.445440E-02	8.781769E+07
1.432188E-02	8.944849E+07
1.415794E-02	9.112447E+07
1.386756E-02	9.462132E+07
1.374042E-02	9.644817E+07
1.358313E-02	9.833158E+07
1.345860E-02	1.002739E+08
1.330454E-02	1.022789E+08
1.306171E-02	1.064959E+08
1.291219E-02	1.087189E+08
1.279381E-02	1.110230E+08
1.264736E-02	1.134159E+08
1.253141E-02	1.159060E+08
1.241652E-02	1.184999E+08
1.227439E-02	1.212099E+08
1.216186E-02	1.240461E+08
1.205036E-02	1.270229E+08
1.191242E-02	1.301571E+08
1.180321E-02	1.334670E+08
1.169499E-02	1.369781E+08
1.156112E-02	1.407210E+08
1.145513E-02	1.446139E+08
1.135011E-02	1.485631E+08
1.127197E-02	1.525661E+08
1.116863E-02	1.566188E+08
1.109175E-02	1.607200E+08
1.101539E-02	1.648660E+08
1.096478E-02	1.690519E+08
1.088930E-02	1.732778E+08
1.083927E-02	1.775399E+08
1.078947E-02	1.818348E+08
1.073989E-02	1.861620E+08
1.069055E-02	1.905180E+08
1.066596E-02	1.949001E+08
1.061696E-02	1.993081E+08
1.059254E-02	2.037380E+08
1.056818E-02	2.081891E+08
1.054387E-02	2.126591E+08
1.051962E-02	2.171461E+08
1.049542E-02	2.216501E+08
1.047129E-02	2.261679E+08
1.044720E-02	2.315901E+08
1.042317E-02	2.380970E+08
1.039920E-02	2.459042E+08
1.037528E-02	2.552742E+08
1.035142E-02	2.665171E+08
1.032761E-02	2.800077E+08
1.032761E-02	2.961979E+08
1.030386E-02	3.156262E+08
1.030386E-02	3.389401E+08
1.028016E-02	3.669163E+08
1.028016E-02	3.986043E+08
1.028016E-02	4.302917E+08
1.028016E-02	4.619798E+08
1.028016E-02	4.936680E+08
1.028016E-02	5.253564E+08
1.028016E-02	5.570446E+08
1.028016E-02	5.887325E+08
1.028016E-02	6.204203E+08
1.030386E-02	6.521087E+08
1.030386E-02	6.837967E+08
1.030386E-02	7.154858E+08
1.030386E-02	7.471727E+08
1.030386E-02	7.788611E+08
1.030386E-02	8.105485E+08
1.030386E-02	8.422364E+08
1.030386E-02	8.739247E+08
1.032761E-02	9.056137E+08
1.032761E-02	9.373008E+08
1.032761E-02	9.689893E+08
1.032761E-02	1.000679E+09
1.032761E-02	1.032369E+09
1.032761E-02	1.064050E+09
1.035142E-02	1.095741E+09
1.035142E-02	1.127431E+09
1.035142E-02	1.159119E+09
1.035142E-02	1.190809E+09
1.035142E-02	1.222489E+09
1.035142E-02	1.254180E+09
1.037528E-02	1.285870E+09
1.037528E-02	1.317559E+09
1.037528E-02	1.349249E+09
1.037528E-02	1.380931E+09
1.037528E-02	1.412619E+09
1.039920E-02	1.444309E+09
1.039920E-02	1.475999E+09
1.039920E-02	1.507690E+09
1.039920E-02	1.539381E+09
1.039920E-02	1.571061E+09
1.042317E-02	1.602751E+09
1.042317E-02	1.634440E+09
1.042317E-02	1.666130E+09
1.042317E-02	1.697821E+09
1.042317E-02	1.729502E+09
1.044720E-02	1.761189E+09
1.044720E-02	1.792879E+09
1.044720E-02	1.824572E+09
1.044720E-02	1.856261E+09
1.047129E-02	1.887939E+09
1.047129E-02	1.919632E+09
1.047129E-02	1.951318E+09
1.047129E-02	1.983010E+09
1.047129E-02	2.014698E+09
1.049542E-02	2.046379E+09
1.049542E-02	2.078069E+09
1.049542E-02	2.109760E+09
1.049542E-02	2.141450E+09
1.051962E-02	2.173141E+09
1.051962E-02	2.204829E+09
1.051962E-02	2.236511E+09
1.051962E-02	2.268198E+09
1.051962E-02	2.299890E+09
1.054387E-02	2.331578E+09
1.054387E-02	2.363268E+09
1.054387E-02	2.394948E+09
1.054387E-02	2.426638E+09
1.056818E-02	2.458329E+09
1.056818E-02	2.490021E+09
1.056818E-02	2.521709E+09
1.056818E-02	2.553389E+09
1.056818E-02	2.585080E+09
1.059254E-02	2.616773E+09
1.059254E-02	2.648457E+09
1.059254E-02	2.680149E+09
1.059254E-02	2.711827E+09
1.059254E-02	2.743519E+09
1.061696E-02	2.775211E+09
1.061696E-02	2.806900E+09
1.061696E-02	2.838592E+09
1.061696E-02	2.870272E+09
1.064143E-02	2.901957E+09
1.064143E-02	2.933648E+09
1.064143E-02	2.965337E+09
1.064143E-02	2.997029E+09
1.064143E-02	3.028719E+09
1.066596E-02	3.060399E+09
1.066596E-02	3.092089E+09
1.066596E-02	3.123777E+09
1.066596E-02	3.155470E+09
1.066596E-02	3.187161E+09
1.069055E-02	3.218837E+09
1.069055E-02	3.250529E+09
1.069055E-02	3.282222E+09
1.069055E-02	3.313912E+09
1.069055E-02	3.345600E+09
1.071519E-02	3.377279E+09
1.071519E-02	3.408969E+09
1.071519E-02	3.440662E+09
1.071519E-02	3.472346E+09
1.071519E-02	3.504040E+09
1.073989E-02	3.535721E+09
1.073989E-02	3.567410E+09
1.073989E-02	3.599101E+09
1.073989E-02	3.630789E+09
1.073989E-02	3.662478E+09
1.076465E-02	3.694171E+09
1.076465E-02	3.725847E+09
1.076465E-02	3.757543E+09
1.076465E-02	3.789230E+09
1.076465E-02	3.820920E+09
1.076465E-02	3.852610E+09
1.078947E-02	3.884293E+09
1.078947E-02	3.915976E+09
1.078947E-02	3.947671E+09
1.078947E-02	3.979358E+09
1.078947E-02	4.011049E+09
1.081434E-02	4.042732E+09
1.081434E-02	4.074422E+09
1.081434E-02	4.169491E+09
1.083927E-02	4.264548E+09
1.083927E-02	4.359614E+09
1.086426E-02	4.486369E+09
1.086426E-02	4.581429E+09
1.088930E-02	4.676501E+09
1.091440E-02	4.803248E+09
1.091440E-02	4.898307E+09
1.093956E-02	5.025057E+09
1.093956E-02	5.120130E+09
1.096478E-02	5.246878E+09
1.096478E-02	5.373633E+09
1.099006E-02	5.500384E+09
1.099006E-02	5.627144E+09
1.101539E-02	5.753896E+09
1.101539E-02	5.880646E+09
1.104079E-02	6.039083E+09
1.106624E-02	6.165836E+09
1.106624E-02	6.324279E+09
1.109175E-02	6.451029E+09
1.109175E-02	6.609476E+09
1.111732E-02	6.767917E+09
1.111732E-02	6.926343E+09
1.114295E-02	7.084790E+09
1.114295E-02	7.243225E+09
1.116863E-02	7.401675E+09
1.119438E-02	7.591804E+09
1.119438E-02	7.750237E+09
1.122018E-02	7.940375E+09
1.122018E-02	8.130495E+09
1.124605E-02	8.320626E+09
1.124605E-02	8.510753E+09
1.127197E-02	8.700876E+09
1.127197E-02	8.922694E+09
1.129796E-02	9.112824E+09
1.129796E-02	9.334649E+09
1.132400E-02	9.556459E+09
1.132400E-02	9.778269E+09
1.135011E-02	1.000009E+10
