Lbol	tbol
0.084139514	5.13E+05
0.083945999	5.48E+05
0.083560302	5.83E+05
0.083368118	6.17E+05
0.082985077	6.51E+05
0.082794216	6.83E+05
0.082603795	7.14E+05
0.082224265	7.45E+05
0.082035154	7.75E+05
0.081658237	8.04E+05
0.081470428	8.32E+05
0.081283052	8.60E+05
0.08090959	8.87E+05
0.080723503	9.13E+05
0.080537844	9.39E+05
0.080167806	9.64E+05
0.079983426	9.88E+05
0.079799469	1.01E+06
0.079432823	1.03E+06
0.079250133	1.06E+06
0.079067863	1.08E+06
0.078704579	1.10E+06
0.078523563	1.12E+06
0.078342964	1.14E+06
0.07816278	1.16E+06
0.077803655	1.18E+06
0.077624712	1.20E+06
0.07744618	1.22E+06
0.077268059	1.24E+06
0.076913044	1.25E+06
0.076736149	1.27E+06
0.076559661	1.29E+06
0.076383578	1.30E+06
0.076032628	1.32E+06
0.075857758	1.34E+06
0.07568329	1.35E+06
0.075509223	1.37E+06
0.075335556	1.38E+06
0.075162289	1.39E+06
0.07481695	1.41E+06
0.074644876	1421890
0.074473197	1.44E+06
0.074301914	1.45E+06
0.074131024	1.46E+06
0.073960528	1.47E+06
0.073790423	1.49E+06
0.07362071	1.50E+06
0.073451387	1.51E+06
0.073282453	1.52E+06
0.072945751	1.53E+06
0.072610596	1.55E+06
0.072110748	1.58E+06
0.071449633	1.62E+06
0.070794578	1.66E+06
0.07014553	1.70E+06
0.069342581	1.74E+06
0.068548823	1.78E+06
0.067297666	1.82E+06
0.06591739	1.86E+06
0.064714262	1.90E+06
0.063386971	1.95E+06
0.06180164	1.99E+06
0.060394863	2.04E+06
0.059020108	2.08E+06
0.057411646	2.13E+06
0.055847019	2.19E+06
0.054200089	2.25E+06
0.052966344	2.29E+06
0.051404365	2.36E+06
0.050350061	2.41E+06
0.04931738	2.45E+06
0.047863009	2.53E+06
0.046881338	2.58E+06
0.045919801	2.63E+06
0.044977985	2.69E+06
0.043651583	2.77E+06
0.042756289	2.83E+06
0.041879357	2.89E+06
