Lbol	tbol
3.22106879	4.932454E+05
3.18419752	5.008769E+05
3.11171634	5.165365E+05
3.07609681	5.245658E+05
3.01300602	5.410433E+05
2.97851643	5.494915E+05
2.91071712	5.668250E+05
2.87739841	5.757156E+05
2.81190083	5.939529E+05
2.77971327	6.033065E+05
2.71643927	6.224966E+05
2.68534445	6.323376E+05
2.62421854	6.525278E+05
2.60015956	6.628817E+05
2.54097271	6.841274E+05
2.51188643	6.950227E+05
2.45470892	7.173763E+05
2.4266101	7.288413E+05
2.39883292	7.405033E+05
2.34422882	7.644252E+05
2.31739465	7.766941E+05
2.26464431	8.018627E+05
2.23872114	8.147718E+05
2.18776162	8.412537E+05
2.16271852	8.548384E+05
2.11348904	8.827038E+05
2.08929613	8.969970E+05
2.06538016	9.115343E+05
2.01836636	9.413584E+05
1.99526231	9.566630E+05
1.9498446	9.880502E+05
1.92752491	1.004151E+06
1.88364909	1.037201E+06
1.86208714	1.054149E+06
1.840772	1.071391E+06
1.79887092	1.106769E+06
1.77827941	1.124921E+06
1.73780083	1.162171E+06
1.71790839	1.181280E+06
1.6943378	1.200729E+06
1.65576996	1.240629E+06
1.63681652	1.261110E+06
1.59955803	1.303140E+06
1.58124804	1.324711E+06
1.56314764	1.346651E+06
1.52756606	1.391692E+06
1.51008015	1.414800E+06
1.47570653	1.462231E+06
1.45881426	1.486569E+06
1.44211535	1.511319E+06
1.4092888	1.562140E+06
1.3931568	1.588210E+06
1.36144468	1.641701E+06
1.34276496	1.669141E+06
1.32739446	1.697051E+06
1.29717927	1.754309E+06
1.28233058	1.783680E+06
1.25314117	1.843928E+06
1.23879659	1.874839E+06
1.2246162	1.906259E+06
1.19674053	1.970752E+06
1.18304156	2.003821E+06
1.16949939	2.037469E+06
1.14551294	2.100202E+06
1.13240036	2.134411E+06
1.10917482	2.197141E+06
1.09144034	2.249422E+06
1.07398941	2.301691E+06
1.05681751	2.353970E+06
1.03992017	2.405542E+06
1.02565193	2.457938E+06
1.01157945	2.506750E+06
0.995405417	2.565411E+06
0.979489985	2.626231E+06
0.959400632	2.698261E+06
0.944060876	2.766579E+06
0.926829823	2.837952E+06
0.91622049	2.884662E+06
0.895364766	2.983953E+06
0.88511561	3.034967E+06
0.874983775	3.086953E+06
0.855066713	3.193854E+06
0.845278845	3.248808E+06
0.835603018	3.304837E+06
0.814704284	3.420133E+06
0.805378441	3.479469E+06
0.79615935	3.539973E+06
0.778036551	3.664570E+06
0.76913044	3.728748E+06
0.760326277	3.794224E+06
0.743019138	3.928394E+06
0.734513868	3.996870E+06
0.726105957	4.066287E+06
0.711213514	4.207983E+06
0.70307232	4.280268E+06
0.688652296	4.427769E+06
0.680769359	4.502990E+06
0.672976656	4.579204E+06
0.659173895	4.734640E+06
0.653130553	4.813877E+06
0.645654229	4.894136E+06
0.633869711	5.057757E+06
0.628058359	5.141123E+06
0.615176873	5.310984E+06
0.609536897	5.397479E+06
0.603948629	5.485043E+06
0.592925325	5.663319E+06
0.587489353	5.754055E+06
0.576766463	5.938736E+06
0.572796031	6.032690E+06
0.562341325	6.223834E+06
0.558470195	6.321047E+06
0.549540874	6.518715E+06
0.544502653	6.619208E+06
0.535796658	6.823465E+06
0.532108259	6.927236E+06
0.52480746	7.138073E+06
0.521194711	7.245127E+06
0.514043652	7.462546E+06
0.510505	7.572879E+06
0.503500609	7.796847E+06
0.497737085	8.025147E+06
0.494310687	8.140911E+06
0.488652359	8.375698E+06
0.4852885	8.494699E+06
0.480839348	8.735867E+06
0.475335226	8.981254E+06
0.473151259	9.105504E+06
0.468813382	9.357137E+06
0.465586094	9.612846E+06
0.461317575	9.872633E+06
0.460256574	1.000401E+07
0.45708819	1.026980E+07
0.453941617	1.053940E+07
0.451855944	1.081299E+07
0.450816705	1.095111E+07
0.44874539	1.123019E+07
0.446683592	1.151291E+07
0.445656248	1.179921E+07
0.444631267	1.208899E+07
0.443608644	1.238209E+07
0.442588372	1.267839E+07
0.442588372	1.297801E+07
0.443608644	1.328070E+07
0.443608644	1.358639E+07
0.444631267	1.389489E+07
0.445656248	1.420620E+07
0.447713304	1.452031E+07
0.44874539	1.483700E+07
0.451855944	1.515629E+07
0.453941617	1.547811E+07
0.458141887	1.596541E+07
0.462381021	1.629319E+07
0.465586094	1.662321E+07
0.470977326	1.695528E+07
0.478630092	1.745742E+07
0.484172368	1.779451E+07
0.493173804	1.830379E+07
0.500034535	1.864571E+07
0.510505	1.916152E+07
0.518800039	1.950752E+07
0.530884444	2.002959E+07
0.539510623	2.037980E+07
0.552077439	2.090658E+07
0.566239289	2.142481E+07
0.582103218	2.193522E+07
0.599791076	2.243562E+07
0.616595002	2.292878E+07
0.633869711	2.341337E+07
0.657657837	2.404390E+07
0.677641508	2.451021E+07
0.70307232	2.511840E+07
0.731139083	2.571450E+07
0.758577575	2.630153E+07
0.78704579	2.687720E+07
0.82224265	2.758513E+07
0.849180475	2.814583E+07
0.8830799	2.887407E+07
0.912010839	2.958598E+07
0.931107875	3.017769E+07
0.946237161	3.095302E+07
0.948418463	3.157766E+07
0.939723311	3.236801E+07
0.918332596	3.318333E+07
0.893305484	3.386297E+07
0.857037845	3.475770E+07
0.824138115	3.555904E+07
0.79250133	3.639586E+07
0.753355564	3.760088E+07
0.734513868	3.838972E+07
0.71614341	3.933616E+07
0.701455298	4.047203E+07
0.688652296	4.183502E+07
0.680769359	4.347064E+07
0.677641508	4.543327E+07
0.676082975	4.778846E+07
0.677641508	5.061486E+07
0.677641508	5.400625E+07
0.677641508	5.807604E+07
0.679203633	6.295990E+07
0.680769359	6.882053E+07
0.682338694	7.585322E+07
0.683911647	8.429232E+07
0.68706844	9.441957E+07
0.690239804	1.065720E+08
0.695024318	1.211549E+08
0.699841996	1.386539E+08
0.704693069	1.596541E+08
0.707945784	1.848532E+08
0.711213514	2.150929E+08
0.71285303	2.467812E+08
0.714496326	2.784691E+08
0.71614341	3.101573E+08
0.717794291	3.418448E+08
0.719448978	3.735330E+08
0.721107479	4.052211E+08
0.722769804	4.369090E+08
0.72443596	4.685975E+08
0.726105957	5.002844E+08
0.726105957	5.319735E+08
0.727779805	5.636623E+08
0.72945751	5.953495E+08
0.731139083	6.270382E+08
0.732824533	6.587263E+08
0.734513868	6.904147E+08
0.736207097	7.221028E+08
0.73790423	7.537894E+08
0.739605275	7.854780E+08
0.741310241	8.171655E+08
0.741310241	8.488540E+08
0.743019138	8.805418E+08
0.744731974	9.122314E+08
0.746448758	9.439196E+08
0.748169501	9.756072E+08
0.749894209	1.007291E+09
0.751622894	1.038980E+09
0.753355564	1.070671E+09
0.755092228	1.102359E+09
0.755092228	1.134049E+09
0.756832895	1.165741E+09
0.758577575	1.197421E+09
0.760326277	1.229111E+09
0.76207901	1.260799E+09
0.763835784	1.292489E+09
0.765596607	1.324180E+09
0.767361489	1.355860E+09
0.76913044	1.387551E+09
0.770903469	1.419241E+09
0.772680585	1.450928E+09
0.774461798	1.482620E+09
0.774461798	1.514300E+09
0.776247117	1.545991E+09
0.778036551	1.577680E+09
0.779830111	1.609370E+09
0.781627805	1.641058E+09
0.783429643	1.672738E+09
0.785235635	1.704429E+09
0.78704579	1.736121E+09
0.788860118	1.767812E+09
0.790678628	1.799501E+09
0.79250133	1.831188E+09
0.794328235	1.862872E+09
0.79615935	1.894558E+09
0.797994687	1.926252E+09
0.799834255	1.957938E+09
0.801678063	1.989629E+09
0.803526122	2.021310E+09
0.805378441	2.053000E+09
0.80723503	2.084688E+09
0.809095899	2.116382E+09
0.810961058	2.148068E+09
0.812830516	2.179752E+09
0.814704284	2.211439E+09
0.814704284	2.243128E+09
0.816582371	2.274820E+09
0.818464788	2.306508E+09
0.820351544	2.338191E+09
0.82224265	2.369878E+09
0.824138115	2.401569E+09
0.82603795	2.433263E+09
0.827942164	2.464949E+09
0.829850768	2.496629E+09
0.831763771	2.528320E+09
0.833681185	2.560012E+09
0.835603018	2.591702E+09
0.837529282	2.623391E+09
0.839459987	2.655082E+09
0.841395142	2.686761E+09
0.843334758	2.718448E+09
0.845278845	2.750141E+09
0.847227414	2.781833E+09
0.851138038	2.813520E+09
0.853100114	2.845201E+09
0.855066713	2.876888E+09
0.857037845	2.908580E+09
0.859013522	2.940269E+09
0.860993752	2.971960E+09
0.862978548	3.003641E+09
0.864967919	3.035331E+09
0.866961876	3.067023E+09
0.868960429	3.098710E+09
0.87096359	3.130401E+09
0.872971368	3.162081E+09
0.874983775	3.193773E+09
0.877000821	3.225463E+09
0.879022517	3.257152E+09
0.881048873	3.288842E+09
0.8830799	3.320527E+09
0.88511561	3.352208E+09
0.889201118	3.383904E+09
0.891250938	3.415592E+09
0.893305484	3.447283E+09
0.895364766	3.478973E+09
0.897428795	3.510654E+09
0.899497582	3.542338E+09
0.901571138	3.574028E+09
0.903649474	3.605720E+09
0.905732601	3.637408E+09
0.90782053	3.669087E+09
0.912010839	3.700778E+09
0.914113241	3.732467E+09
0.91622049	3.764159E+09
0.918332596	3.795850E+09
0.920449572	3.827533E+09
0.922571427	3.859224E+09
0.924698174	3.890908E+09
0.928966387	3.922600E+09
0.931107875	3.954294E+09
0.933254301	3.985979E+09
0.935405674	4.017658E+09
0.937562007	4.049347E+09
0.939723311	4.081041E+09
0.944060876	4.112728E+09
0.946237161	4.144422E+09
0.948418463	4.176101E+09
0.950604794	4.207789E+09
0.952796164	4.239484E+09
0.954992586	4.271171E+09
0.959400632	4.302858E+09
0.961612278	4.334540E+09
0.963829024	4.366234E+09
0.966050879	4.397917E+09
0.968277856	4.429605E+09
0.972747224	4.461296E+09
0.974989638	4.492975E+09
0.977237221	4.524671E+09
0.979489985	4.556360E+09
0.984011106	4.588048E+09
0.986279486	4.619745E+09
0.988553095	4.651425E+09
0.990831945	4.683106E+09
0.995405417	4.714797E+09
0.997700064	4.746495E+09
1	4.778185E+09
1.00230524	4.809866E+09
1.00693167	4.841545E+09
1.00925289	4.873242E+09
1.01157945	4.904932E+09
1.01624869	4.936623E+09
1.01859139	4.968314E+09
1.02093948	4.999988E+09
1.02565193	5.031680E+09
1.0280163	5.063374E+09
1.03038612	5.095056E+09
1.03514217	5.126748E+09
1.03752842	5.158435E+09
1.03992017	5.190115E+09
1.04472022	5.221809E+09
1.04712855	5.253503E+09
1.04954243	5.285195E+09
1.0543869	5.316869E+09
1.05681751	5.348562E+09
1.06169556	5.380244E+09
1.06414302	5.411940E+09
1.06659612	5.443635E+09
1.07151931	5.475326E+09
1.07398941	5.506999E+09
1.07894672	5.538689E+09
1.08143395	5.570382E+09
1.08642562	5.602076E+09
1.08893009	5.633756E+09
1.09144034	5.665445E+09
1.0964782	5.697128E+09
1.09900584	5.728818E+09
1.10407862	5.760511E+09
1.10662378	5.792206E+09
1.11173173	5.823874E+09
1.11429453	5.855568E+09
1.11943788	5.887257E+09
1.12201845	5.918954E+09
1.12719746	5.950644E+09
1.12979591	5.982325E+09
1.13501082	6.014008E+09
1.13762729	6.045706E+09
1.14287833	6.077389E+09
1.14551294	6.109083E+09
1.15080039	6.140758E+09
1.15611224	6.172456E+09
1.15877736	6.204146E+09
1.16412603	6.235826E+09
1.16680962	6.267524E+09
1.17219537	6.299209E+09
1.17489755	6.330893E+09
1.18032064	6.362576E+09
1.18304156	6.394270E+09
1.18850223	6.425960E+09
1.19124201	6.457657E+09
1.19674053	6.489332E+09
1.1994993	6.521027E+09
1.20503594	6.552711E+09
1.20781384	6.584397E+09
1.21338885	6.616084E+09
1.216186	6.647770E+09
1.22179966	6.679455E+09
1.23310483	6.774527E+09
1.25602996	6.932965E+09
1.2793813	7.091417E+09
1.30016958	7.249850E+09
1.32434154	7.408290E+09
1.34586035	7.598415E+09
1.36458314	7.756861E+09
1.3931568	7.946996E+09
1.42889396	8.137106E+09
1.46554784	8.327238E+09
