Lbol	tbol
0.074644876	4.89E+05
0.073282453	5.07E+05
0.072610596	5.16E+05
0.071944898	5.26E+05
0.070631755	5.46E+05
0.0699842	5.56E+05
0.069502432	5.67E+05
0.06886523	5.78E+05
0.068233869	5.89E+05
0.067608298	6.01E+05
0.066527316	6.27E+05
0.06591739	6.40E+05
0.065463617	6.55E+05
0.064863443	6.70E+05
0.064416927	6.86E+05
0.063826349	7.03E+05
0.063386971	7.21E+05
0.062805836	7.40E+05
0.062373484	7.60E+05
0.061944108	7.80E+05
0.0616595	8.00E+05
0.061235039	8.21E+05
0.06095369	8.42E+05
0.060673633	8.63E+05
0.060394863	8.84E+05
0.060117374	9.05E+05
0.05984116	9.26E+05
0.059703529	9.48E+05
0.059566214	9.70E+05
0.059292532	9.91E+05
0.059156163	1.02E+06
0.058884366	1.05E+06
0.058613816	1.09E+06
0.058479008	1.13E+06
0.058210322	1.18E+06
0.05794287	1.23E+06
0.057809605	1.28E+06
0.057543994	1.32E+06
0.057411646	1.37E+06
0.057147864	1.41E+06
0.057016427	1.45E+06
0.056885293	1.49E+06
0.056754461	1.53E+06
0.056493697	1.57E+06
0.056363766	1.61E+06
0.056234133	1.64E+06
0.056104798	1.68E+06
0.055847019	1.71E+06
0.055718575	1.74E+06
0.055590426	1.77E+06
0.055462571	1.81E+06
0.055335011	1.84E+06
0.05508077	1.87E+06
0.054954087	1.90E+06
0.054827696	1.92E+06
0.054701596	1.95E+06
0.054575786	1.98E+06
0.054450265	2.00E+06
0.054325033	2.03E+06
0.054200089	2.05E+06
0.053951062	2.08E+06
0.053826978	2.10E+06
0.05370318	2.12E+06
0.053579666	2.15E+06
0.053456436	2.17E+06
0.05333349	2.19E+06
0.052966344	2.25E+06
0.052722986	2.29E+06
0.052119471	2.34E+06
0.051522864	2.41E+06
0.0510505	2.45E+06
0.050350061	2.51E+06
0.049659232	2.57E+06
0.048977882	2.63E+06
0.048083935	2.69E+06
0.047206304	2.75E+06
0.046344692	2.81E+06
0.045289758	2.88E+06
0.044157045	2.95E+06
0.042953643	3.02E+06
0.041783037	3.08E+06
0.040457589	3.16E+06
0.039174188	3.23E+06
0.037844258	3.31E+06
0.036475395	3.40E+06
0.035399734	3.47E+06
0.034355795	3.55E+06
0.033265955	3.63E+06
0.032284941	3.72E+06
0.031332857	3.81E+06
0.03040885	3.90E+06
0.029512092	4.00E+06
0.028906799	4.07E+06
0.028054336	4.18E+06
0.027227013	4.29E+06
0.026730064	4.36E+06
0.025941794	4.48E+06
0.025409727	4.56E+06
0.024660393	4.69E+06
0.02421029	4.78E+06
0.023496328	4.92E+06
0.023067472	5.01E+06
0.022387211	5.16E+06
0.021978599	5.26E+06
0.021527817	5.37E+06
0.020941125	5.53E+06
0.020511622	5.64E+06
0.020137242	5.76E+06
0.019769696	5.87E+06
0.019186687	6.06E+06
0.018836491	6.19E+06
0.018492686	6.32E+06
0.018155157	6.46E+06
0.017782794	6.60E+06
0.017258379	6.82E+06
0.016904409	6.97E+06
0.0165577	7.13E+06
0.016218101	7.29E+06
0.015885467	7.46E+06
0.015559656	7.63E+06
0.015240528	7.81E+06
0.014927944	7.99E+06
0.014621772	8.18E+06
0.014321879	8.38E+06
0.014028137	8.58E+06
0.01374042	8.79E+06
0.013614447	8.90E+06
0.013335214	9.12E+06
0.013061709	9.34E+06
0.012764388	9.57E+06
0.01250259	9810926
0.012246162	1.01E+07
0.011994993	1.03E+07
0.011748976	1.06E+07
0.01164126	1.07E+07
0.011402498	1.10E+07
0.011142945	1.13E+07
0.010914403	1.15E+07
0.010690549	1.18E+07
0.010592537	1.20E+07
0.010375284	1.23E+07
0.010139114	1.26E+07
0.00993116	1.30E+07
0.009727472	1.33E+07
0.00963829	1.35E+07
0.009440609	1.38E+07
0.009246982	1.42E+07
0.009036495	1.46E+07
0.008953648	1.48E+07
0.008770008	15196095
0.008590135	1.56E+07
0.008491805	1.58E+07
0.008317638	1.63E+07
0.008147043	1.67E+07
0.007979947	1.72E+07
0.007888601	1.74E+07
0.007726806	1.79E+07
0.007568329	1.84E+07
0.007498942	1.86E+07
0.007328245	1.92E+07
0.007177943	1.97E+07
0.007112135	2.00E+07
0.006966265	2.06E+07
0.006823387	2.11E+07
0.00674528	2.14E+07
0.006606934	2.20E+07
0.006546362	2.24E+07
0.006412096	2.30E+07
0.006266139	2.37E+07
0.00620869	2.40E+07
0.00608135	2.47E+07
0.005956621	2.54E+07
0.005888437	2.58E+07
0.005767665	2.65E+07
0.005701643	2.69E+07
0.005571857	2.77E+07
0.005445027	2.85E+07
0.005382698	2.89E+07
0.005272299	2.98E+07
0.005211947	3.02E+07
0.005093309	3.11E+07
0.005035006	3.16E+07
0.004920395	3.25E+07
0.004808393	3.35E+07
0.004753352	3.40E+07
0.004655861	3.50E+07
0.004602566	3.55E+07
0.004497799	3.66E+07
0.004446313	3.72E+07
0.004345102	3.83E+07
0.004295364	3.89E+07
0.00419759	4.00E+07
0.00414954	4.06E+07
0.004055085	4.19E+07
0.00396278	4.32E+07
0.003926449	4.38E+07
0.003854784	4.49E+07
0.00379315	4.58E+07
0.003723917	4.70E+07
0.003664376	4.80E+07
0.003605786	4.90E+07
0.003548134	5.00E+07
0.003491403	5.12E+07
0.003427678	5.24E+07
0.003365116	5.37E+07
0.003311311	5.49E+07
0.003258367	5.61E+07
0.003198895	5.74E+07
0.003140509	5.88E+07
0.003090295	6.01E+07
0.003033891	6.15E+07
0.002978516	6.30E+07
0.002930893	6.44E+07
0.002877398	6.59E+07
0.002831392	6.75E+07
0.002779713	6.91E+07
0.002735269	7.06E+07
0.002685344	7.23E+07
0.002636331	7.40E+07
0.002594179	7.57E+07
0.00254683	7.74E+07
0.002506109	7.93E+07
0.002460368	8.11E+07
0.002415461	8.30E+07
0.00237684	8.49E+07
0.002333458	8.69E+07
0.002290868	8.89E+07
0.002254239	9.10E+07
0.002208005	9.34E+07
0.002167704	9.56E+07
0.002137962	9.76E+07
0.002094112	1.00E+08
0.002041738	103727999
0.002018366	1.05E+08
0.001990673	1.07E+08
0.001940886	1.11E+08
0.001918669	1.13E+08
0.001870682	1.16E+08
0.001849269	1.18E+08
0.001823896	120379906
0.001778279	1.24E+08
0.001757924	1.26E+08
0.001733804	1.29E+08
0.001690441	1.33E+08
0.001671091	1.35E+08
0.001625549	1.40E+08
0.001606941	1.42E+08
0.001584893	1.45E+08
0.001545254	1.50E+08
0.001524053	152222903
0.001503142	1.55E+08
0.001462177	160213829
0.001442115	1.63E+08
0.001422329	1.66E+08
0.001383566	1.72E+08
0.001364583	1.75E+08
0.00134586	1.78E+08
0.001309182	1.84E+08
0.001291219	1.87E+08
0.001273503	1.91E+08
0.001238797	1.98E+08
0.0012218	2.01E+08
0.001205036	2.05E+08
0.001188502	2.09E+08
0.001156112	2.16E+08
0.001137627	2.21E+08
0.001122018	2.25E+08
0.001106624	2.29E+08
0.001076465	2.38E+08
0.001059254	2.42E+08
0.00104472	2.47E+08
0.001030386	2.52E+08
0.001016249	2.57E+08
0.000986279	2.67E+08
0.000972747	2.72E+08
0.000957194	2.78E+08
0.000944061	2.83E+08
0.000928966	2.89E+08
0.00091622	2.95E+08
0.000901571	3.02E+08
0.000874984	3.15E+08
0.000860994	3.22E+08
0.000847227	3.29E+08
0.000835603	3.36E+08
0.000822243	3.44E+08
0.000809096	3.52E+08
0.000797995	3.61E+08
0.000785236	3.70E+08
0.000772681	378978873
0.000760326	3.89E+08
0.000749894	3.99E+08
0.000737904	4.10E+08
0.000726106	4.21E+08
0.000714496	4.34E+08
0.000704693	4.47E+08
0.000693426	4.61E+08
0.000682339	4.76E+08
0.000672977	4.91E+08
0.000663743	506555459
0.000654636	5.22E+08
0.000647143	5.39E+08
0.000639735	5.55E+08
0.000632412	5.72E+08
0.000626614	5.89E+08
0.000620869	6.06E+08
0.000615177	6.23E+08
0.000609537	6.41E+08
0.000605341	6.59E+08
0.000601174	676411527
0.000597035	6.94E+08
0.000594292	7.13E+08
0.000590201	7.31E+08
0.000587489	7.50E+08
0.00058479	7.68E+08
0.000582103	7.87E+08
0.000579429	8.09E+08
0.000576766	836263227
0.000574116	8.68E+08
0.000571479	9.00E+08
0.000568853	931328729
0.000567545	9.63E+08
0.000564937	9.95E+08
0.000563638	1.03E+09
0.000563638	1.06E+09
0.000562341	1.09E+09
0.000561048	1.12E+09
0.000561048	1.15E+09
0.000559758	1.18E+09
0.000559758	1.22E+09
0.00055847	1.25E+09
0.00055847	1.28E+09
0.00055847	1.31E+09
0.000557186	1.34E+09
0.000557186	1.37E+09
0.000557186	1.41E+09
0.000557186	1.44E+09
0.000557186	1.47E+09
0.000557186	1.50E+09
0.000557186	1.53E+09
0.000555904	1.57E+09
0.000555904	1.60E+09
0.000555904	1.63E+09
0.000555904	1.66E+09
0.000555904	1.69E+09
0.000555904	1.72E+09
0.000555904	1.76E+09
0.000555904	1.79E+09
0.000555904	1.82E+09
